"vintage_sheet","vintage_date","date","forecast_horizon","food_at","services","core_gds","food_at_qoq_fc","services_qoq_fc","core_gds_qoq_fc","food_at_yoy","services_yoy","core_gds_yoy","energy_yoy","MPR_cpi","c_f","c_s","c_e","c_cg","encont_f","cpi_bottom_up","cpi_resid","c_cg_r"
"M24",2024 Q2,2026 Q3,9,154.525464170019,147.617091501933,120.784943947928,1.58354542276259,1.11968528424953,-0.0318430420779474,5.74710192092125,4.19767981420511,-0.131426285615888,10.0387629229179,1.74291169933616,0.843507321325341,2.17593701317814,0.585770851438893,-0.0363408925177061,-0.125629884865787,2.85747355711998,-1.11456185778383,-1.15090275030153
"M24",2024 Q2,2026 Q4,10,156.845726531741,149.199299961091,120.737890816041,1.50154045754489,1.07183283660416,-0.0389561234614224,5.81615961076603,4.27456851513277,-0.128139244668013,7.2858092166264,1.6098512979247,0.853642980615779,2.21579354765642,0.425133525018446,-0.0354319875659437,-0.124692183401984,2.90931235730427,-1.29946105937957,-1.33489304694552
"M24",2024 Q2,2027 Q1,11,158.898544509733,150.694014631108,120.691509383152,1.30881345853965,1.00182418443464,-0.038414976918808,5.72848582652679,4.26775339863852,-0.135866616792679,5.87843874109817,1.53131597776994,0.838663309571397,2.21126472524745,0.342975156973876,-0.0376513477878128,-0.101058005525797,2.91121868150524,-1.3799027037353,-1.41755405152311
"M24",2024 Q2,2027 Q2,12,161.131176138306,152.099210352038,120.645802930687,1.40506738778612,0.93248276938547,-0.0378704787921721,5.75712740202681,4.10459381747277,-0.1471118352117,-1.54374290160044,1.54456379689281,0.844978770210136,2.12768434154438,-0.0900787876769973,-0.0406781289333234,-0.0295155093303441,2.90246947349085,-1.35790567659804,-1.39858380553137
"A24",2024 Q3,2024 Q3,0,139.060383015799,137.468336204468,121.078674615954,0.66485291504101,1.22294329552386,0.0788886440954207,2.64043500030224,5.21570334506469,0.04294743842852,-14.3293743857223,2.24587374876526,0.402127688806031,2.55613171502202,-1.02814264273764,0.0122773627498418,-0.853163657469492,2.1173731091084,0.128500639656863,0.140778002406705
"A24",2024 Q3,2024 Q4,1,140.330155400331,138.950001106443,121.160031268269,0.913108648915345,1.07782267748621,0.067193213480538,2.65152745823256,4.87462684534501,0.286974016374408,-8.55669617634991,2.69161582460384,0.403817025778986,2.38897564794869,-0.613948940340429,0.0820371185739439,-0.323872110001369,2.55095768230026,0.140658142303588,0.222695260877532
"A24",2024 Q3,2025 Q1,2,141.992416510814,140.368469811401,121.148421029613,1.18453592938813,1.02084828619145,-0.0095825649215061,3.08937846836761,4.82322121265568,0.193200009901684,-7.68668571440143,2.63487658381187,0.465085538514852,2.41594330594317,-0.471980182241391,0.055478542043328,-0.334520655920273,2.60198673058108,0.0328898532307971,0.088368395274125
"A24",2024 Q3,2025 Q2,3,143.419154603817,141.785380467873,121.105773275441,1.00479879705011,1.00942231426725,-0.0352028972481733,3.74897700568884,4.30761582584633,0.10123607330712,-0.859145024344254,2.59417098571753,0.56665262584206,2.15740649518408,-0.052968610442389,0.0289902960312689,0.154263565351527,2.90731298240893,-0.313141996691409,-0.28415170066014
"A24",2024 Q3,2025 Q3,4,145.212217454843,143.212418907791,121.042191029032,1.25022550577602,1.00647784363188,-0.052501416479577,4.32879921144078,4.09353665443382,-0.0301366733520325,2.54180408147091,2.41836947457017,0.654291940490378,2.05018806773802,0.156709084493702,-0.00863003723211009,0.333716182664036,3.02956615366033,-0.611196679090156,-0.619826716322266
"A24",2024 Q3,2025 Q4,5,147.314956479864,144.63770731159,120.972239003759,1.44804553079377,0.995226820878433,-0.0577914400577842,4.8574956700989,4.01178813684311,-0.155115468047295,1.89518306015701,2.13692501665674,0.73420367004151,2.00924551623107,0.116843152652942,-0.0444193773110681,0.0219272758713792,2.72095708483289,-0.584032068176151,-0.628451445487219
"A24",2024 Q3,2026 Q1,6,149.350253791155,146.091877580375,120.906454552397,1.38159584058866,1.00538808019964,-0.0543797915156165,5.05205926436103,3.99648299004634,-0.199927026655455,1.25621259115762,1.94095594641261,0.739632927636789,2.07071052037828,0.0732932211460551,-0.0554037642982913,-0.0626944548870127,2.69224522882976,-0.751289282417146,-0.806693046715437
"A24",2024 Q3,2026 Q2,7,151.405196023874,147.688802958096,120.841971873572,1.37592148694479,1.09309662122902,-0.0533327017687939,5.41881663667834,4.07928681870064,-0.218064860445644,7.80967285182115,1.70650528370864,0.795324594700253,2.11456603863467,0.455701439609331,-0.0602974634656016,-0.192972911572765,2.65662025829656,-0.950114974587918,-1.01041243805352
"A24",2024 Q3,2026 Q3,8,153.821904755543,149.336312373477,120.772123953452,1.59618612513666,1.11552763810238,-0.0578010429954642,5.75992294664633,4.18719174947908,-0.223367411384778,10.0387629229179,1.68773628520817,0.845389074809935,2.17050035072552,0.585770851438893,-0.0617636803098633,-0.114185502560521,2.83994024266507,-1.1522039574569,-1.21396763776676
"A24",2024 Q3,2026 Q4,9,156.154023245979,150.932611290491,120.696833542598,1.51611598760421,1.06892884365742,-0.0623408849572873,5.82699928056991,4.26014088368358,-0.227919590604486,7.2858092166264,1.56042041522806,0.855233928708598,2.20831474539605,0.425133525018446,-0.0630224106693914,-0.127190797853958,2.8733354655813,-1.31291505035324,-1.37593746102264
"A24",2024 Q3,2027 Q1,10,158.235728066006,152.442687076086,120.625514632575,1.33310994923727,1.00049669364605,-0.0590892966532878,5.77916269951171,4.2552980677824,-0.232631769176006,5.87843874109817,1.48893586173902,0.846082518643968,2.20481120481391,0.342975156973876,-0.0644669003652701,-0.122327890987575,2.86409893210503,-1.37516307036602,-1.43962997073129
"A24",2024 Q3,2027 Q2,11,160.498600049175,153.863563276468,120.559281169467,1.43006387421288,0.932072392343262,-0.0549083361922261,5.83255598419008,4.09588796678255,-0.234208256802759,-1.54374290160044,1.48690494011099,0.856049491099964,2.12317151932198,-0.0900787876769973,-0.0647612998217418,-0.087508976599586,2.82695073400062,-1.34004579388963,-1.40480709371137
"A24",2024 Q3,2027 Q3,12,162.179831115773,155.205185964268,120.496819152719,1.04750512844526,0.87195607538913,-0.0518102099996708,5.29103176093031,3.85471294316506,-0.228214138691296,-4.19235655515831,1.50366258825008,0.776569493480326,1.99815444232447,-0.244627778114387,-0.0631038566321522,-0.0664265995966728,2.64519347957597,-1.14153089132589,-1.20463474795804
"N24",2024 Q4,2024 Q4,0,139.645680420966,138.574111305476,121.540742313546,0.42854211729026,0.970866703829323,0.230560660908361,2.1625735875987,4.60373864931869,0.600703018490378,-8.55669617634991,2.33214561242585,0.329351307096932,2.25621773146497,-0.613948940340429,0.171722671544335,-0.558263788011643,2.19902792209459,0.133117690331256,0.304840361875591
"N24",2024 Q4,2025 Q1,1,140.521847277234,139.844207588777,121.693388416204,0.627421380759349,0.916546583871755,0.125592537738215,2.04831066824926,4.44903197953135,0.642025772379018,-7.68668571440143,2.42379697801818,0.308359652254516,2.22851255519289,-0.471980182241391,0.184361552693269,-0.487703401077252,2.23353035906342,0.190266618954757,0.374628171648026
"N24",2024 Q4,2025 Q2,2,140.959741810718,141.131762484422,121.739609076747,0.3116202512054,0.920706633363851,0.0379812421571351,2.01926067054998,3.8455588861309,0.623244961816294,-0.859145024344254,2.53990980933221,0.305208423388691,1.92599202295892,-0.052968610442389,0.178474483974088,-0.154281053360626,2.25539387696107,0.284515932371134,0.462990416345221
"N24",2024 Q4,2025 Q3,3,141.727461699948,142.456756518093,121.684361092146,0.544637695393513,0.938834752961496,-0.0453820946367594,1.9073834069931,3.72950491993835,0.348390649617336,2.54180408147091,2.71603391895265,0.288298331630237,1.86786808837929,0.156709084493702,0.0997662961135641,0.194247825726828,2.45018054184992,0.265853377102731,0.365619673216295
"N24",2024 Q4,2025 Q4,4,142.893676884594,143.803472933478,121.577613655927,0.822857596303683,0.945351030236964,-0.0877248606650025,2.29924749753705,3.70423139410212,0.0303320105270011,1.89518306015701,2.69480739024015,0.347528040306228,1.85521021195769,0.116843152652942,0.00868597463014677,0.0131990392591611,2.22462326615323,0.470184124086921,0.478870098717068
