"vintage_sheet","vintage_date","date","forecast_horizon","version","food_at","services","core_gds","food_at_qoq_fc","services_qoq_fc","core_gds_qoq_fc","food_at_yoy","services_yoy","core_gds_yoy","energy_yoy","MPR_cpi","estimated_food","estimated_services","estimated_core","food","services_contrib","core","energy","cpi_bottom_up","cpi_resid"
"N24",2024 Q4,2027 Q3,11,"V2",152.152473050636,154.194407660567,120.781229271066,0.613856955315004,0.875439559425541,-0.0700533616852755,3.5183370299178,3.85142629729662,-0.349642771966963,-4.19235655515831,1.87106944304496,0.516389492384362,1.99645075488024,-0.09668028230502,0.200939792805152,1.95133777412829,-0.229885335082595,-0.0513227888058908,1.87106944304496,0
"N24",2024 Q4,2027 Q4,12,"V2",152.742485056781,155.477742996477,120.707350184044,0.387776809877398,0.832283968907146,-0.0611676892744655,2.86121656083624,3.62379336873451,-0.306188998704471,-3.96754661922989,1.83286885814979,0.41994332972884,1.87845344765345,-0.0846648099341712,0.227215686581468,1.85089115018646,-0.166047977873112,-0.0791900007450213,1.83286885814979,-4.44089209850063e-16
"N24",2024 Q4,2024 Q4,0,"V3",139.645680420966,138.574111305476,121.540742313546,0.42854211729026,0.970866703829323,0.230560660908361,2.1625735875987,4.60373864931869,0.600703018490378,-8.55669617634991,2.33214561242585,0.329351307096932,2.25621773146497,0.171722671544335,0.388440248212243,2.28341087796951,0.218558274255741,-0.558263788011643,2.33214561242585,0
"N24",2024 Q4,2025 Q1,1,"V3",140.521847277234,139.844207588777,121.693388416204,0.627421380759349,0.916546583871755,0.125592537738215,2.04831066824926,4.44903197953135,0.642025772379018,-7.68668571440143,2.42379697801818,0.308359652254516,2.22851255519289,0.184361552693269,0.391762249462512,2.26819869130587,0.251539438327043,-0.487703401077252,2.42379697801818,0
"N24",2024 Q4,2025 Q2,2,"V3",140.959741810718,141.131762484422,121.739609076747,0.3116202512054,0.920706633363851,0.0379812421571351,2.01926067054998,3.8455588861309,0.623244961816294,-0.859145024344254,2.53990980933221,0.305208423388691,1.92599202295892,0.178474483974088,0.430330935169389,1.98528424799814,0.278575679525309,-0.154281053360626,2.53990980933221,0
"N24",2024 Q4,2025 Q3,3,"V3",141.727461699948,142.456756518093,121.684361092146,0.544637695393513,0.938834752961496,-0.0453820946367594,1.9073834069931,3.72950491993835,0.348390649617336,2.54180408147091,2.71603391895265,0.288298331630237,1.86786808837929,0.0997662961135641,0.405213549808893,1.92327109562477,0.193301447792167,0.194247825726828,2.71603391895265,-4.44089209850063e-16
"N24",2024 Q4,2025 Q4,4,"V3",142.893676884594,143.803472933478,121.577613655927,0.822857596303683,0.945351030236964,-0.0877248606650025,2.29924749753705,3.70423139410212,0.0303320105270011,1.89518306015701,2.69480739024015,0.347528040306228,1.85521021195769,0.00868597463014677,0.554302466310682,1.95319510392101,0.1741107807493,0.0131990392591611,2.69480739024015,-4.44089209850063e-16
"N24",2024 Q4,2026 Q1,5,"V3",144.043774026322,145.198828841087,121.457199979735,0.804862165214493,0.970321424889118,-0.0990426383369349,2.47542663548668,3.7575036478346,-0.194273443722892,1.25621259115762,2.54785123403591,0.362408070402291,1.94688738906422,-0.0538370437729249,0.55180027145538,2.04274511387284,0.0975443980216661,-0.144238549313976,2.54785123403591,0
"N24",2024 Q4,2026 Q2,6,"V3",145.278406309351,146.752098550308,121.332294018465,0.857122976244173,1.0697536072566,-0.10283948690649,3.01776144689487,3.90508190550722,-0.335139877821167,7.80967285182115,2.35970095141962,0.442919563546063,2.0242640300793,-0.0926700638401353,0.43257006716146,2.01903660670237,-0.100903539308211,0.00899781686400036,2.35970095141962,0
"N24",2024 Q4,2026 Q3,7,"V3",146.892313917374,148.368631551701,121.204271245975,1.11090674039073,1.10153995572243,-0.105514177841382,3.57938303286538,4.06614400823626,-0.395317365633474,10.0387629229179,2.30152944477178,0.525349269178381,2.1077532446598,-0.109309837279097,0.416013967948127,2.05252911699837,-0.196290834906499,0.0292771947317772,2.30152944477178,0
"N24",2024 Q4,2026 Q4,8,"V3",148.434121502959,149.944414562066,121.077509214858,1.04961760385352,1.06207288824073,-0.104585448857411,3.80403981452702,4.18170596999925,-0.41219418179459,7.2858092166264,2.17327958523788,0.558322347213963,2.16765670586821,-0.113976472718713,0.362869969924917,2.06893573547998,-0.269467357857871,0.0109412376908473,2.17327958523788,0
"N24",2024 Q4,2027 Q1,9,"V3",149.744305376234,151.442098464473,120.96408968377,0.88267027824119,0.99882606950132,-0.0936751439825213,3.88119690593873,4.20993270180965,-0.406821510392241,5.87843874109817,2.07803370367348,0.568216024409085,2.18130590257328,-0.112738349838464,0.321296183485694,2.0563315159332,-0.310101711787017,0.0105077160415999,2.07803370367348,0
"N24",2024 Q4,2027 Q2,10,"V3",151.224172946884,152.856243634737,120.865899897075,0.988263004013493,0.933786037437711,-0.0811726744292961,4.01113799484154,4.07531368415111,-0.385134744686955,-1.54374290160044,1.89294512184768,0.588718333527088,2.11250649838688,-0.106494224468981,0.318297958252205,1.97591996907388,-0.321625419568093,-0.0796473859103135,1.89294512184768,0
"N24",2024 Q4,2027 Q3,11,"V3",152.152473050636,154.194407660567,120.781229271066,0.613856955315004,0.875439559425541,-0.0700533616852755,3.5183370299178,3.85142629729662,-0.349642771966963,-4.19235655515831,1.87106944304496,0.516389492384362,1.99645075488024,-0.09668028230502,0.301766958009648,1.8880471367993,-0.267421862958099,-0.0513227888058908,1.87106944304496,0
