"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2025  Q3",0.0650383852543932,"Q",3,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q3",0.0209058614440578,"Q",4,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q3",-4.29629729938041e-06,"Q",5,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q3",-0.0112412184165661,"Q",6,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q3",-0.0172440631500688,"Q",7,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q3",-0.0207307094513273,"Q",8,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q3",-0.0115669219912282,"Q",9,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q3",-0.0129880046013169,"Q",10,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q3",-0.0198508371158858,"Q",11,"Core goods inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q3",-0.0259775791972629,"Q",12,"Core goods inflation","OLS-FixedCoeff","2028  Q3"
"2025  Q4",0.211531106835366,"Q",0,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q4",0.146815088273197,"Q",1,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q4",0.0841662424273281,"Q",2,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q4",0.0355686207546943,"Q",3,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q4",0.0123861736766529,"Q",4,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q4",0.000220089883478463,"Q",5,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q4",-0.00821482991870457,"Q",6,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q4",-0.014035101923179,"Q",7,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q4",-0.00606814515806208,"Q",8,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q4",-0.00804598275509124,"Q",9,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q4",-0.0156343566093557,"Q",10,"Core goods inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q4",-0.0223950928904866,"Q",11,"Core goods inflation","OLS-FixedCoeff","2028  Q3"
"2025  Q4",-0.026178980699179,"Q",12,"Core goods inflation","OLS-FixedCoeff","2028  Q4"
"2026  Q1",0.132522824135732,"Q",0,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2026  Q1",0.106508002095842,"Q",1,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2026  Q1",0.0591320279098653,"Q",2,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2026  Q1",0.0199862747831322,"Q",3,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2026  Q1",-0.00449768636206709,"Q",4,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2026  Q1",-0.021209611850131,"Q",5,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2026  Q1",-0.0315737652327881,"Q",6,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2026  Q1",-0.0257056270965773,"Q",7,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2026  Q1",-0.0278398667061237,"Q",8,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2026  Q1",-0.0344715944264959,"Q",9,"Core goods inflation","OLS-FixedCoeff","2028  Q2"
"2026  Q1",-0.038621558149983,"Q",10,"Core goods inflation","OLS-FixedCoeff","2028  Q3"
