"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2025  Q1",1.10425522337639,"Q",6,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q1",1.06173786144526,"Q",7,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q1",0.997311864956814,"Q",8,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q1",0.931481639642161,"Q",9,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q1",0.872878868309164,"Q",10,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q1",0.829138175882796,"Q",11,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q1",0.802400072933429,"Q",12,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q2",1.06811191623793,"Q",0,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2025  Q2",0.993493268747805,"Q",1,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q2",0.96217020461126,"Q",2,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q2",0.972028947584819,"Q",3,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q2",1.06626150887222,"Q",4,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q2",1.09881214189841,"Q",5,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q2",1.0597227150531,"Q",6,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q2",0.998105760703164,"Q",7,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q2",0.939200555453872,"Q",8,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q2",0.877379992247185,"Q",9,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q2",0.833513286866743,"Q",10,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q2",0.804639390320408,"Q",11,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q2",0.790124341465913,"Q",12,"Services inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q3",1.2754018626974,"Q",0,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q3",1.11837501280548,"Q",1,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q3",1.0625809263395,"Q",2,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q3",1.12564697649156,"Q",3,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q3",1.13293611845838,"Q",4,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q3",1.07877939976301,"Q",5,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q3",1.0072015077629,"Q",6,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q3",0.947254774357653,"Q",7,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q3",0.885564273162007,"Q",8,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q3",0.835500018273561,"Q",9,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q3",0.803805955796411,"Q",10,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q3",0.788004320394243,"Q",11,"Services inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q3",0.777647821219109,"Q",12,"Services inflation","OLS-FixedCoeff","2028  Q3"
"2025  Q4",0.916698020911314,"Q",0,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q4",0.945469114689968,"Q",1,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q4",1.05977827029246,"Q",2,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q4",1.09687159089919,"Q",3,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q4",1.05828228326919,"Q",4,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q4",0.995238708178779,"Q",5,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q4",0.940665429399006,"Q",6,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q4",0.882330124547243,"Q",7,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q4",0.833925927598294,"Q",8,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q4",0.803116114938713,"Q",9,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q4",0.788515588952761,"Q",10,"Services inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q4",0.779044312173409,"Q",11,"Services inflation","OLS-FixedCoeff","2028  Q3"
"2025  Q4",0.777009409175189,"Q",12,"Services inflation","OLS-FixedCoeff","2028  Q4"
"2026  Q1",0.926511169578554,"Q",0,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2026  Q1",1.03817184704182,"Q",1,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2026  Q1",1.07550270179774,"Q",2,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2026  Q1",1.03842317885885,"Q",3,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2026  Q1",0.97804386510929,"Q",4,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2026  Q1",0.92628521017081,"Q",5,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2026  Q1",0.870784851867023,"Q",6,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2026  Q1",0.824856604458962,"Q",7,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2026  Q1",0.796969604449857,"Q",8,"Services inflation","OLS-FixedCoeff","2028  Q1"
"2026  Q1",0.784390557379539,"Q",9,"Services inflation","OLS-FixedCoeff","2028  Q2"
"2026  Q1",0.776727710718809,"Q",10,"Services inflation","OLS-FixedCoeff","2028  Q3"
"2026  Q1",0.775097916085307,"Q",11,"Services inflation","OLS-FixedCoeff","2028  Q4"
